Text,Class,filtered_text
Good service and better facilities,positive,good service better facilities
"God damn expensive hospital. Not recommended if you don't have enough money. But if you can bear the expenses, no one will stop you.",negative,damn expensive hospital recommend enough money bear expense stop
More then 5* . Very good services,positive,good service
square hospital is very popular hospital in bangladesh.,positive,square hospital popular hospital bangladesh
Best private hospital in BD..,positive,best private hospital
Professional service found for cardiothoracic surgery.,positive,professional service find cardiothoracic surgery
"Nice environment,  Costly, Hygienic, Good service, Secured....",mixed,nice environment costly hygienic good service secure
It's a good hospital and provide good services.,positive,good hospital provide good service
"5 star hospital, care is good but very expensive",mixed,star hospital care good expensive
Very expensive,negative,expensive
"They have very bad communication ! No one can answer correctly, always sounds like they are in a hurry!",negative,communication answer correctly always sound like hurry
One of the top 2 private hospitals of the country,positive,private hospitals country
One of the best hospitals in Dhaka.,positive,best hospitals dhaka
Good hospital,positive,good hospital
Quality hospital with sporadic tought doctors and unnecessary billings,mixed,quality hospital sporadic tought doctor unnecessary bill
Countries one of the best Hospital.,positive,countries best hospital
"Just waste of money, nothing else. They only care about money not patient.",negative,waste money nothing else care money patient
One of the best hospital in dhaka.,positive,best hospital dhaka
Excellent hospital ever I seen...,positive,excellent hospital ever see
high price,negative,high price
Square Hospital is one of the best hospital in Dhaka.,positive,square hospital best hospital dhaka
A place of trust,positive,place trust
A Good private hospital in Bangladesh.,positive,good private hospital bangladesh
Nice hospital everything is clean,positive,nice hospital everything clean
One of the best hospital in this country!,positive,best hospital country
One of the best private hospitals of the country.,positive,best private hospitals country
They will provide good service,positive,provide good service
One of the best hospital in bangladesh,positive,best hospital bangladesh
"quality Services and treatment, you can get from here.",positive,quality service treatment
"Poor attitude from the employees, despite having great medical facilities.",negative,poor attitude employees despite great medical facilities
Parking is not adequate,negative,park adequate
"A hospital with advanced facilities, neat and clean; but expensive.",mixed,hospital advance facilities neat clean expensive
Anyone please inform best medicine doctor in square,positive,anyone please inform best medicine doctor square
World class private hospital.,positive,world class private hospital
Good service and one of top level hospital,positive,good service level hospital
More expansive hospital in BD,mixed,expansive hospital
Good but too much expensive...,mixed,good much expensive
Very quality service but for elite only because it's very costly,positive,quality service elite costly
most popular and modern hospital in bangaldesh.,positive,popular modern hospital bangaldesh
Five star hospital and It's services.,positive,five star hospital service
All medical services and standard level of service maintained,positive,medical service standard level service maintain
Luxury hospital in Dhaka city,positive,luxury hospital dhaka city
One Of the Best Hospital in bd.,positive,best hospital
Very helpful,positive,helpful
"Information is correct, they are providing good health care",positive,information correct provide good health care
Don't be there if you have little money ornot covered by insurance.,negative,little money ornot cover insurance
Good,positive,good
best hospital but only for rech people ®,mixed,best hospital rech people
Costly,negative,costly
Service is good but so expensive in the Bangladeshi perspective,mixed,service good expensive bangladeshi perspective
Good condition Hospital of Bangladesh.,positive,good condition hospital bangladesh
I'm quite impressed with this hospital.,positive,quite impress hospital
The #1 tertiary care hospital of Bangladesh,positive,tertiary care hospital bangladesh
one of the top leading hospital in our country,positive,lead hospital country
Good but a bit expensive. Its discipline is upto the mark.,mixed,good expensive discipline upto mark
Best hospital of Bangladesh.,positive,best hospital bangladesh
positivesibly the best hospital in Bangladesh.,positive,positivesibly best hospital bangladesh
Square Hospitals Limited is a sister concern of Square Group.,positive,square hospitals limit sister concern square group
Over all service good but not friendly.,mixed,service good friendly
Once upon a time I received quality service.,positive,upon time receive quality service
Tertiary level hospital with all health care facilities.,positive,tertiary level hospital health care facilities
Best hospital for Bangladeshi people,positive,best hospital bangladeshi people
Hospital is very clean and hygienic,positive,hospital clean hygienic
too much costly...,negative,much costly
but service is not up to the mark...,negative,service mark
Best private and expensive hospital of Bangladesh,positive,best private expensive hospital bangladesh
Very good treatment & doctors.,positive,good treatment doctor
one of the best hospital in bangladesh,positive,best hospital bangladesh
One of the Best Hospital of Bangladesh.,positive,best hospital bangladesh
"I tried several times to contact on phone, but the operator never received the phone.",negative,try several time contact phone operator never receive phone
so nice hospital i like it,positive,nice hospital like
Not bad,mixed,
Excellent 😊,positive,excellent
Probably the best Hospital in Bangladesh...,positive,probably best hospital bangladesh
Not best but better,mixed,best better
"My mum is in hospital now let see what good or bad they are,,,,",mixed,hospital good
Very organised and very clean,positive,organise clean
Worst customer service and worst care,negative,worst customer service worst care
Good,positive,good
Tnx.. That's really helpful,positive,really helpful
.. Many many tnx,positive,many many
Service is too bad and it’s a like a government hospital,negative,service like government hospital
Well treatment service but cost high,mixed,well treatment service cost high
one of the best hospital in dhaka,positive,best hospital dhaka
One of the top hospital in Bangladesh.,positive,hospital bangladesh
Square hospital is on of the best hospital in dhaka.,positive,square hospital best hospital dhaka
Good but very costly hospital,mixed,good costly hospital
My wife is in Square hospital o.t. now.,positive,wife square hospital
Popular private hospital in Bangladesh.,positive,popular private hospital bangladesh
Private hospital in Dhaka,positive,private hospital dhaka
My mum admitted yesterday. I’m worried,positive,admit yesterday worry
Service is great but very costly.,mixed,service great costly
Good service but cost is a little more,mixed,good service cost little
An excellent Medical Institution but expensive,mixed,excellent medical institution expensive
high quality hospital amd health check services,positive,high quality hospital health check service
Good job,positive,good
Square Hospital flyover,positive,square hospital flyover
One of the best Hospital of this country.,positive,best hospital country
My baby girl 1st gps,positive,baby girl
Treatment is good,positive,treatment good
Best private hospital in Bangladesh,positive,best private hospital bangladesh
One of the best private hospital,positive,best private hospital
Amazing Service 🙂,positive,amaze service
One of the best private hospital,positive,best private hospital
More then 5* . Very good services,positive,good service
Modern technology used in this hospital,positive,modern technology use hospital
The pop singer has died in this hospital ☹️☹️,positive,singer die hospital
They take care as like home.,positive,take care like home
Doesn't provide necessary medical expertise.,negative,provide necessary medical expertise
Great hospital of bangladesh,positive,great hospital bangladesh
One of the best hospitals of Dhaka,positive,best hospitals dhaka
The best hospital in Bangladesh.,positive,best hospital bangladesh
Most popular hospital in Bangladesh,positive,popular hospital bangladesh
International Quality Hospital in Bangladesh.,positive,international quality hospital bangladesh
Square is a great group of company,positive,square great group company
Best private Hospital in Dhaka,positive,best private hospital dhaka
No money no service! Patients means Money.,negative,money service patients mean money
it's expensive....... along with satisfactory service....,mixed,expensive along satisfactory service
Costly but quality in service.,mixed,costly quality service
I will be able to do every thinks for you?,positive,able every think
No good,negative,good
Vary good facilitys,positive,vary good facilitys
big & world class private medical..,positive,world class private medical
Good place for treatment,positive,good place treatment
Square Hospitals Limited it's very impotent Hospital,positive,square hospitals limit impotent hospital
there's service are to much good....,positive,service much good
It is a reliable place for treatment.,positive,reliable place treatment
Excellent hospital in Bangladesh,positive,excellent hospital bangladesh
The most elite hospital of Bangladesh,positive,elite hospital bangladesh
Today I had the worst experience i have ever had,negative,today worst experience ever
This is the largest hospital in bangladesh,positive,largest hospital bangladesh
well established private hospital,positive,well establish private hospital
Very good service,positive,good service
Is good but can be better.,positive,good better
It is the one of the biggest hospital in Dhaka,positive,biggest hospital dhaka
Best for taking treatments,positive,best take treatments
Doctors just want money,negative,doctor want money
Best Hospital in Bangladesh.,positive,best hospital bangladesh
One of the biggest hospital in bd.,positive,biggest hospital
Expensive but good medical service...,mixed,expensive good medical service
Outfit is okay.No room for middle class,mixed,outfit okay room middle class
Service is good but too much costly,mixed,service good much costly
Best health services in Dhaka.,positive,best health service dhaka
Good,positive,good
Bangladeshi Best Hospital....,positive,bangladeshi best hospital
Please see tha price list,mixed,please price list
Good,positive,good
best hospital of bangladesh,positive,best hospital bangladesh
Very poor cz appointment is not easier,negative,poor appointment easier
Good hospital,positive,good hospital
They care us with their love,positive,care love
Nice but very expensive hospital,mixed,nice expensive hospital
Good,positive,good
Top Hospital in Bangladesh...,positive,hospital bangladesh
Doesn’t respond when in time of emergency!!,negative,respond time emergency
Gd,positive,
Friendly staff and treatment is ok,positive,friendly staff treatment
My family members are prefer,positive,family members prefer
Best hospital of dhaka,positive,best hospital dhaka
Good Hospital...,positive,good hospital
Service good. But expensive,mixed,service good expensive
Really a luxurious hospital,positive,really luxurious hospital
Good,positive,good
Good hope,positive,good hope
One of the largest hospitals,positive,largest hospitals
Nice. Satisfied.,positive,nice satisfy
So nice,positive,nice
"truely, only for rich peoples",mixed,truely rich people
Very good hospital,positive,good hospital
nice hospital with best doctors,positive,nice hospital best doctor
"Its very expensive, but good survise",mixed,expensive good survise
Good,positive,good
Stars Service in here,positive,star service
Good experienced doctors.,positive,good experience doctor
Good for neonatal care.,positive,good neonatal care
Modernized hospital but costly,positive,modernize hospital costly
Square Hospital is Very nice,positive,square hospital nice
"Overwhelming services,,,A 'Path paving' Hospital in Bangladesh, ,,",positive,overwhelm service path pave hospital bangladesh
Nice,positive,nice
Service superb but very costly,mixed,service superb costly
"Good hospitality,doctors and staff.",positive,good hospitality doctor staff
Good service and better facilities,positive,good service better facilities
private hospital..  very expensive,positive,private hospital expensive
Love the cafe :-P,positive,love cafe
fine and luxury hospital,positive,fine luxury hospital
It's ok,mixed,
Good but Koshai.....,mixed,good koshai
Very expensive but best service,mixed,expensive best service
Comfortable support!,positive,comfortable support
Room rent should be less,mixed,room rent less
"good service,,,",positive,good service
Good Doctor Available here,positive,good doctor available
Square hospital situated in panthapath.,positive,square hospital situate panthapath
Some special diagnosis are available here.,positive,special diagnosis available
Clinical and diagnostic services and pharmacy,positive,clinical diagnostic service pharmacy
too good,positive,good
emergency room is quite ok.,positive,emergency room quite
ok,positive,
Good,positive,good
very good,positive,good
Expensive & too much time consuming place.,negative,expensive much time consume place
Like 5 star hotel,negative,like star hotel
this hospital  is best ever  I seen,positive,hospital best ever see
One of the best hospital...,positive,best hospital
Quality is decreased and cost increased.,negative,quality decrease cost increase
"Best Hospital in Bangladesh,",positive,best hospital bangladesh
No bicycle parking,negative,bicycle park
Well decorated and good in service..............,positive,well decorate good service
Not bad,mixed,
This is fantastic my mother is ill,negative,fantastic mother
The Best Hospital in the city.,positive,best hospital city
Midern amenities are there,positive,midern amenities
Wrong robi number mentioned as contact #,negative,wrong robi number mention contact
Very good,positive,good
nice area,positive,nice area
Ok,positive,
this is a very good hospital,positive,good hospital
Good one.,positive,good
keep up the good will,positive,keep good
dependable hospital in dhaka,negative,dependable hospital dhaka
Well known Private Hospital,positive,well know private hospital
5* Star Category Hospital of Bangladesh,positive,star category hospital bangladesh
Best,positive,best
High cost,negative,high cost
Good,positive,good
one of the best hospital,positive,best hospital
Good service but very overpriced,mixed,good service overprice
Best service in Bangladesh,positive,best service bangladesh
A reputational private hospital.,positive,reputational private hospital
Very Good Service.,positive,good service
Excellent service but expensive,mixed,excellent service expensive
Best private in Bangladesh,positive,best private bangladesh
Well and more than batter..,positive,well batter
they have a good reputation,positive,good reputation
Very expensive but good.,mixed,expensive good
Overpriced value for money,mixed,overprice value money
Square Hospitals Ltd.,positive,square hospitals
Exclusive,positive,exclusive
Bangladeshi biggest hospital,positive,bangladeshi biggest hospital
5 Star hospital for rich people,mixed,star hospital rich people
Service good but extensive,mixed,service good extensive
Great hospitality,positive,great hospitality
Best hospital in the town,positive,best hospital town
Selling service at a high price 😑,negative,sell service high price
Sad memories.,negative,memories
it's only business center.,negative,business center
not so bad,mixed,
A private hospital with high facilities,positive,private hospital high facilities
nice hospital but expensive...,mixed,nice hospital expensive
Nice,positive,nice
Good Hospital,positive,good hospital
Class one Hospital In Dhaka,positive,class hospital dhaka
very bad hospitals,negative,hospitals
Sell a kidney to fix the other one.,negative,sell kidney
one of the best hospital,positive,best hospital
mid-levels Hospital,mixed,level hospital
BEST HOSPITAL IN CITY,positive,best hospital city
Best hospital ever,positive,best hospital ever
Standard hospital by Square pharmaceuticals,positive,standard hospital square pharmaceuticals
Awesome,positive,awesome
Expected more better...,mixed,expect better
Expensive but top notch!,positive,expensive notch
Best Wishes 🎉,positive,best wish
Popular and economic hospital.,positive,popular economic hospital
SQUERE SAVEDY LIFE,positive,squere savedy life
Treatment service satisfied,positive,treatment service satisfy
most popular hospital,positive,popular hospital
🤎🤎,positive,
nice and clean environment,positive,nice clean environment
Best hospital in town,positive,best hospital town
Very good stuff,positive,good stuff
Good hospital in town,positive,good hospital town
nice one but expensive,mixed,nice expensive
Great in Service.👍,positive,great service
Best hospital in bd,positive,best hospital
Bangladesh Biggest Hospital,positive,bangladesh biggest hospital
They are very neat,positive,neat
Best Hospital in Town,positive,best hospital town
in love,positive,love
Leading hospital in Bangladesh.,positive,lead hospital bangladesh
They charge too high.,negative,charge high
Most Expebsive Hospital in the City,negative,expebsive hospital city
good,positive,good
Well,positive,well
nice,positive,nice
Child Development Centre,positive,child development centre
High experience doctor hear.,positive,high experience doctor hear
I like,positive,like
good but expensive,mixed,good expensive
Good,positive,good
Nice,positive,nice
good,positive,good
Love it,positive,love
Expensive hospital,mixed,expensive hospital
Hospitals,positive,hospitals
I like it,positive,like
Good,positive,good
Good private hospital,positive,good private hospital
Great!,positive,great
International Standard Hospital,positive,international standard hospital
nice,positive,nice
Emergency Time,positive,emergency time
Expensive but good,mixed,expensive good
One of the top private hospitals in the country with modern techniques. Good online and offline healthcare opportunities. Large and spacious building with systematic care of patients.You can call 10616 for appointment or any other query. …,positive,private hospitals country modern techniques good online offline healthcare opportunities large spacious build systematic care patients call appointment query
One of the leading private hospital in Bangladesh. Their service is quite good but the total system is designed for rich people considering the service cost and priority to customers. General people can take consultation from doctors as …,positive,lead private hospital bangladesh service quite good total system design rich people consider service cost priority customers general people take consultation doctor
Square Hospitals is one of the best private hospitals in Bangladesh. The place is very neat and clean. Their service is awesome. I went to Dr. Aftab Yusuf Raj to take consultation of my baby. New she is fine and the Dr. behaviour is very polite and as expected. Their service charge and other cost is high. I strongly recommend.,positive,square hospitals best private hospitals bangladesh place neat clean service awesome go aftab yusuf take consultation baby fine behaviour polite expect service charge cost high strongly recommend
Of course Square Hospital is too poor to provide a mask to their patient or visitors! Even though most of the patients and attendants bring own mask. I asked them to provide me one but they said they do not have any for the visitors. So i …,negative,course square hospital poor provide mask patient visitors even though patients attendants bring mask ask provide say visitors
Square Hospital one of the best & top private healthcare services in Bangladesh. This is 500 bed hospital. Their outdoor doctors are very good and they try to keep countries best doctors in their hospital. …,positive,square hospital best private healthcare service bangladesh hospital outdoor doctor good keep countries best doctor hospital
"Probably the first hospital on earth where patients are treated by security guards (disqualified in the military) instead of doctors. If you desire to waste your well-earned money on getting a death certificate, this hospital offers you the most expensive pricing.",negative,probably first hospital earth patients treat security guard disqualify military instead doctor desire waste well earn money get death certificate hospital offer expensive price
One of the largest high-end private hospitals in Dhaka with 500 bed and 3000 staffs. The Hospital was founded on 16 December 2006.,positive,largest high private hospitals dhaka staff hospital found december
One of the best Hospital in Bangladesh. So many peoples are coming everyday here from the different parts of the country. Definitely expensive as their service. it has a cafeteria and few coffee corner. It has also a good kids indoor play ground in 9th floor.,mixed,best hospital bangladesh many people come everyday different part country definitely expensive service cafeteria coffee corner also good kid indoor play grind floor
My father was admitted into the hospital due to his heart problems. I went to stay with him in the hospital cabin. Most of nurses were very good except a brother nurse entered into the patient cabin without covering his face properly who …,mixed,father admit hospital heart problems go stay hospital cabin nurse good except brother nurse enter patient cabin without cover face properly
Very good service. Everyone is cordial. Very clean and artistic environment. They have an awesome cafeteria with reasonable price.,positive,good service everyone cordial clean artistic environment awesome cafeteria reasonable price
One of the cleanest hospitals in Bangladesh. Health safety and hygiene is paramount for each doctors to staff members. They also have helipad for the emergency of patients. …,positive,cleanest hospitals bangladesh health safety hygiene paramount doctor staff members also helipad emergency patients
Unprofessional. Rude staff. They are also racist. If you're dark skinned you won't get service but if you are white you will be treated well. My friend and I came. Both of us are British citizens for a COVID test. They made me hand over …,negative,unprofessional rude staff also racist dark skin service white treat well friend come british citizens covid test make hand
Square Hospital is one of the renowned hospitals in Bangladesh.,positive,square hospital renowned hospitals bangladesh
It has several different departments which have more experienced and …,positive,several different departments experience
Service quality seems a bit detached when dealing with patients. Route is nearly always congested due to the hospital and inadequate parking facilities. …,negative,service quality seem detach deal patients route nearly always congest hospital inadequate park facilities
"Each and every facility is available here in the Square Hospitals Ltd, Panthopath. Anyone can come to have advanced treatment facility. The hospital authority is gonna inaugurate a new building very soon to provide more advanced treatment …",positive,every facility available square hospitals panthopath anyone come advance treatment facility hospital authority gonna inaugurate build soon provide advance treatment
Nowadays I can assume that Square hospital is the best hospital in Bangladesh. Evercare hospital is also best but Evercare is too tough to afford for a middle class family whereas middle class family can afford Square Hospital without some …,positive,nowadays assume square hospital best hospital bangladesh evercare hospital also best evercare tough afford middle class family whereas middle class family afford square hospital without
"This is the second extension part of the Square Hospitals Ltd, a reputed health service provider in Bangladesh.",positive,second extension part square hospitals repute health service provider bangladesh
The 8th to 12th floor of Union Heights building is known as extension wing- 2. …,positive,floor union heights build know extension wing
Waited in front of ghdu to know patient (bed no 2) update from 11:02 am to 12:33 pm on 28may2022 but no duty doctors came out to provide the details. Duty guard keep telling that all doctors are busy. I think they should keep praying to …,positive,wait front ghdu know patient update duty doctor come provide detail duty guard keep tell doctor busy think keep pray
"Square hospital LTD. You would think this is one the best hospitals in Bangladesh. However it’s not. She was feeling slightly unwell, and had gone to the hospital by herself. There, they had admitted her to the general ICU room, not the …",negative,square hospital would think best hospitals bangladesh however feel slightly unwell go hospital admit general room
"One of the best private hospital in Bangladesh, though it's a bit expensive but you will get top notch service from them!",mixed,best private hospital bangladesh though expensive notch service
"One of the best Hospital in Dhaka Bangladesh. The outdoor time is morning and evening. Indoor and emergency services is 24/7. A patient gets there every kind of Doctor, Diagnostics and Hospital support. It's called a 5 Star Hospital, so its expenses are high then other Hospital. Given picture is Panthapath Signal near Square Hospital.",positive,best hospital dhaka bangladesh outdoor time morning even indoor emergency service patient get every kind doctor diagnostics hospital support call star hospital expense high hospital give picture panthapath signal near square hospital
"Doctors are nothing like other doctors, they are like friends. They are really frank and advising.",positive,doctor nothing like doctor like friends really frank advise
Doctors really do try their best. …,positive,doctor really best
Fantastic Doctors Collection! Doctors takes sufficient time for each patients & do act boldly!,positive,fantastic doctor collection doctor take sufficient time patients boldly
Square Hospitals provide 400 beds facilities. The hospital is a leading contributor of private healthcare services in Bangladesh since 16th December 2006. There is also available emergency service. There is available ambulance service. 24 …,positive,square hospitals provide bed facilities hospital lead contributor private healthcare service bangladesh since december also available emergency service available ambulance service
It is one of the best hospitals in the country in terms of quality of service.,positive,best hospitals country term quality service
"How to go: from any area of Dhaka city you can come through any public transport. 1st, you have to come at SAARC Fountain (ফোয়ারা), then through Panthapath Road just go straight, at the right hand you will get the hospital. 2nd, if you come …",positive,area dhaka city come public transport come saarc fountain panthapath road straight right hand hospital come
This is well renowned hospital in Bangladesh.Though there are few other hospitals in Dhaka with similar standards. You will find patient complaint regarding harassment and wrong treatment. But in case of square hospitals this number of complaint is almost less. This a reliable hospital for classy people.,positive,well renowned hospital bangladesh though hospitals dhaka similar standards find patient complaint regard harassment wrong treatment case square hospitals number complaint almost less reliable hospital classy people
"Very good, large and expensive private hospital at panthopat, dhaka in bangladesh. Hospital environment is neat and clean. They maintain world standard management system even security and other system. they didn't allow attendant except any special patient. Their children ward has a child play ground also.",positive,good large expensive private hospital panthopat dhaka bangladesh hospital environment neat clean maintain world standard management system even security system allow attendant except special patient children ward child play grind also
Well decorated and maintained Pharmacy specially square pharma products,positive,well decorate maintain pharmacy specially square pharma products
They have separated their Executive Check up facility and the mainstream hospital facility into two different section. …,positive,separate executive check facility mainstream hospital facility different section
One of the best! But pretty expensive for middle class people.,positive,best pretty expensive middle class people
"Numbers of renowned specialist here, staffs are very friendly. Overall they provide a very professional treatment. …",positive,number renowned specialist staff friendly overall provide professional treatment
Overall good to me by the first experience 😊,positive,overall good first experience
"From all over sites, I am satisfied about dhaka square hospital service.",positive,sit satisfy dhaka square hospital service
Just got released after critical harnia surgery today noon. Alhamdulillah. …,positive,release critical harnia surgery today noon alhamdulillah
One of the best hospital in Bangladesh .I went there with my mom because my mom was suffering a little bit of liver disease.I randomly visited many doctors in Brahmanbaria Sadar because I lived in Brahmanbaria Sadar. But there’re no good …,positive,best hospital bangladesh go suffer little liver disease randomly visit many doctor brahmanbaria sadar live brahmanbaria sadar good
"Dear Concern, thanks for your wonderful work. our whole family gets service from square hospital regularly. The docs & facility is fantastic.",positive,dear concern thank wonderful work whole family get service square hospital regularly docs facility fantastic
But it is very sad to draw your attention that the security/customer service …,negative,draw attention security customer service
SQUARE Hospitals Limited is a 500 beds premiere tertiary care Hospital and the leading provider of private healthcare services in Bangladesh. At present Square Hospital comprises of three buildings on either side of Panthapath connected by …,positive,square hospitals limit bed premiere tertiary care hospital lead provider private healthcare service bangladesh present square hospital comprise three build either side panthapath connect
"90% of their staffs are really caring and expert. However, you will regret meeting the 10%! …",positive,staff really care expert however regret meet
Really one of the best hospital in Bangladesh.  Wonderful services. Though a little bit expensive but their service is best.,positive,really best hospital bangladesh wonderful service though little expensive service best
One of the best private hospitals in Dhaka city the capital of Bangladesh. There are many renowned doctors/specialists/nurses/teams etc. to give service to the patient. Neat & clean environment here and very much disciplined hospital. But …,positive,best private hospitals dhaka city capital bangladesh many renowned doctor specialists nurse team give service patient neat clean environment much discipline hospital
"Very poor service, a staff went in a break and came back after 2 hrs of his sweet time. No one was placed in his positiveition, and everyone had to wait till he got back.  I mean hope it doesn’t happen everyday” as we go there for covid test”ofc …",negative,poor service staff go break come back sweet time place positiveition everyone wait till back mean hope happen everyday covid test
"Square Hospital. wow its really a good hospital.Its a private hospital. provide very good service. But nowdays some how they can't provide their best quality.but they are very good hospital.cost is so high. Very quite nature in this hospital. keep clear, quite etc.",mixed,square hospital really good hospital private hospital provide good service nowdays provide best quality good hospital cost high quite nature hospital keep clear quite
One of the best hospital in Bangladesh,positive,best hospital bangladesh
Good private hospitals in Bangladesh. Service charge is too much high. This hospital is only for higher class people.,positive,good private hospitals bangladesh service charge much high hospital higher class people
They are terrible in maintaining time schedule. I don't understand if they can't follow the schedule why they take time wise appointment! A hospital like square should understand the value of maintaining schedule.,negative,terrible maintain time schedule understand follow schedule take time wise appointment hospital like square understand value maintain schedule
One of the famous and biggest Private Hospital in Bangladesh.Square Hospital is located in the heart of Dhaka and aims to serve greater portion of the capital city. At present Square Hospital comprises of three buildings on either side of …,positive,famous biggest private hospital bangladesh square hospital locate heart dhaka aim serve greater portion capital city present square hospital comprise three build either side
Worst hospital in Bangladesh. They have cases running in courts for malpratice. The doctors dont even know what they are doing.,negative,worst hospital bangladesh case run court malpratice doctor dont even know
"It is the best hospital in Bangladesh is driven by experienced doctors, advanced technology and modern diagnostic equipment and state of-the-art-facility. All Doctors, staff & nurses are well behaved. All premises are neat & clean. Earlier …",positive,best hospital bangladesh drive experience doctor advance technology modern diagnostic equipment state facility doctor staff nurse well behave premise neat clean earlier
"quare Hospitals Limited, a concern of Square Group is a 400-bed tertiary care hospital. The hospital is an affiliate partner of Methodist Healthcare, Memphis, Tennessee, USA, SingHealth, Singapore, Bangkok Hospital Medical Centre, Thailand …",positive,quare hospitals limit concern square group tertiary care hospital hospital affiliate partner methodist healthcare memphis tennessee singhealth singapore bangkok hospital medical centre thailand
"This hospital is very bad, people are murdered instead of people's treatment. Who is dead manNot interested in this hopitals.There are different types of people instead of human treatment The threat is given. Here is the treatment of …",positive,hospital people murder instead people treatment dead mannot interest hopitals different type people instead human treatment threat give treatment
"Good for their facilities, well behaved employees, clean cafeteria, taste food, well served cabin, door to door food parcel from cafeteria, and good hospitality as well.",positive,good facilities well behave employees clean cafeteria taste food well serve cabin door door food parcel cafeteria good hospitality well
Square Hospitals Limited is a 400 beds tertiary care hospital and the leading contributor of private healthcare services in Bangladesh. This has been achieved only through consistent commitment to improving the lives of people through …,positive,square hospitals limit bed tertiary care hospital lead contributor private healthcare service bangladesh achieve consistent commitment improve live people
"Good service, hospital is owned by one of the top group of companies of the country",positive,good service hospital own group company country
"Appalling service. My dad was seen by diabetologist Dr Pratik Dewan. He asked for fasting blood sugar, but did not take time to explain that my dad should have stopped his anti diabetic meds the night before. …",positive,appal service see diabetologist pratik dewan ask fast blood sugar take time explain stop anti diabetic meds night
Excellent environment and Maternity service is very good quality.,positive,excellent environment maternity service good quality
"Slow service more than expected. Very very slow. I had to wait 2/3 hours for 30 minutes of work.  Doctor officer, he will come as his wishes.  Does the patient have any worries or if the patient waits for 1 or 2 hours? Not only if the …",negative,slow service expect slow wait hours minutes work doctor officer come wish patient worry patient wait hours
This hospital will be at the top of the list of hospitals for the rich. The atmosphere inside or outside is great. The quality of service is also respectable. But sometimes some activities put the quality of their service in question. The …,positive,hospital list hospitals rich atmosphere inside outside great quality service also respectable sometimes activities quality service question
"An expensive and gorgeous private hospital in Bangladesh. Services are satisfactory regardless it expense. Usually people with high income seek their treatment.  Diagnosis,  consultation, Operations charge all are highly levied. It would be …",mixed,expensive gorgeous private hospital bangladesh service satisfactory regardless expense usually people high income seek treatment diagnosis consultation operations charge highly levy would
very good service with beautiful environment.,positive,good service beautiful environment
One of the famous hospital not only in service quality but also well furnished atmosphere with digital security system. …,positive,famous hospital service quality also well furnish atmosphere digital security system
"It's a moderate private hospital with a tiny apartment size parking space. I drove there as a patient and couldn't park my car, had to park it a mile away from the hospital and walk myself back. Horrible experience.  Laboratory charges are …",mixed,moderate private hospital tiny apartment size park space drive patient park park mile away hospital walk back horrible experience laboratory charge
"Square Hoapital Dhaka is situated Dhaka, panthaparh.",positive,square hoapital dhaka situate dhaka panthaparh
"Square Hospitals Limited, a concern of Square Group is a 400-bed tertiary care hospital. The hospital is an affiliate partner of Methodist Healthcare, Memphis, …",positive,square hospitals limit concern square group tertiary care hospital hospital affiliate partner methodist healthcare memphis
"Great medical facilities, highly qualified doctors and one stop service.",positive,great medical facilities highly qualify doctor stop service
"It is one of the prominent hospital in Dhaka. Like other hospitals they are also very commercial in nature. Located in busy panthapath road, it is really convenient for Indira Rd residents. They also have visiting doctors from neighbouring countries.",positive,prominent hospital dhaka like hospitals also commercial nature locate busy panthapath road really convenient indira residents also visit doctor neighbour countries
The services isn't close to top end hospital. Doctors are mediocre. Punctuality is very poor for such an established system. In brief if this is the best bangladesh can offer then I think people of Bangladesh are well off without an doctor,negative,service close hospital doctor mediocre punctuality poor establish system brief best bangladesh offer think people bangladesh well without doctor
It's super speciality and better Hospital in Bangladesh.,positive,super speciality better hospital bangladesh
One of the best hospitals in Bangladesh.,positive,best hospitals bangladesh
The best part is their patient management and nursing care indoors. Nurses take care of medicine schedule and you don't need to follow them up like other …,positive,best part patient management nurse care indoors nurse take care medicine schedule need follow like
Waiting for Hours for doctor to arrive is the most painful of all. They should automate the service a bit more.,negative,wait hours doctor arrive painful automate service
Hospital authority charged extra fee Tk 650 for report showing . They don’t consider the reason for a little delay.,negative,hospital authority charge extra report show consider reason little delay
Overall experience is good. Doctor's consultancy fee is very high and it's increasing day by day,mixed,overall experience good doctor consultancy high increase
"Square Hospitals Limited is a 400-bed tertiary care hospital located in the Panthapath, Dhaka. It comprises of two buildings on either side of Panthapath connected by an over-bridge. Their services are very good specially health care …",negative,square hospitals limit tertiary care hospital locate panthapath dhaka comprise build either side panthapath connect bridge service good specially health care
Very good hospital. Nice and good looking environment. Expensive for the patients. Service is too good. Floor is always neat and clean. Well checkup at entrance. Well preparation to prevent covid-19. All staff behaviour is good. This is one …,positive,good hospital nice good look environment expensive patients service good floor always neat clean well checkup entrance well preparation prevent covid staff behaviour good
Highly expensive but has one of the best health care in Bangladesh,mixed,highly expensive best health care bangladesh
"I went to see Dr. Pratik Dewan Square Hospital on Panthopot. This was my first visit, no complain about the hospital but I have never seen a doctor so unprofessional and rude. Didn’t bother to listen to the patient and on top of that was …",positive,go pratik dewan square hospital panthopot first visit complain hospital never see doctor unprofessional rude bother listen patient
Good private hospital with its modern facilities and neat and clean. It is expensive for middle class.,mixed,good private hospital modern facilities neat clean expensive middle class
